area,baths,beds,City,Zipcode,Price,Age
1480.0,2.0,2.0,Seattle,98116,695000,45
1471.0,3.0,1.0,Seattle,98116,1199000,44
1275.0,2.0,2.0,Seattle,98116,1399000,48
2980.0,3.0,4.0,Seattle,98116,1850000,32
651.0,1.0,1.0,Seattle,98116,299000,46
1500.0,3.0,3.0,Seattle,98116,850000,45
1480.0,2.0,4.0,Seattle,98116,1160000,58
1450.0,3.5,3.0,Seattle,98116,515000,42
2500.0,3.0,4.0,Seattle,98116,775000,51
1780.0,3.0,3.0,Seattle,98116,1180000,39
1378.0,3.0,2.0,Seattle,98116,775000,33
1378.0,3.0,3.0,Seattle,98116,775000,36
2510.0,4.0,4.0,Seattle,98116,2089000,37
2100.0,,,Seattle,98116,2300000,57
2600.0,2.0,4.0,Seattle,98116,1575000,39
1639.0,2.0,3.0,Seattle,98116,1180000,33
1003.0,1.0,1.0,Seattle,98116,533500,44
1022.0,2.0,2.0,Seattle,98116,458000,35
1780.0,3.0,3.0,Seattle,98116,925000,55
1580.0,2.0,4.0,Seattle,98116,1000000,40
2540.0,3.0,3.0,Seattle,98116,1270000,41
1180.0,1.0,2.0,Seattle,98116,600000,36
1450.0,1.0,4.0,Seattle,98116,662000,40
1760.0,1.5,4.0,Seattle,98116,850000,59
1570.0,3.0,3.0,Seattle,98116,799900,58
1480.0,2.0,3.0,Seattle,98116,935000,38
1924.0,3.0,4.0,Seattle,98116,1050000,51
1924.0,3.0,4.0,Seattle,98116,1050000,33
1419.0,2.0,3.0,Seattle,98116,1175000,42
1650.0,3.0,3.0,Seattle,98116,1205000,53
1020.0,2.0,2.0,Seattle,98116,480000,36
730.0,1.0,2.0,Seattle,98116,1500000,42
960.0,1.0,2.0,Seattle,98116,1000000,30
3500.0,4.0,3.0,Seattle,98116,2100000,30
1654.0,3.0,2.0,Seattle,98116,1290000,51
1800.0,2.0,3.0,Seattle,98116,855000,45
1080.0,2.0,2.0,Seattle,98116,550000,43
3560.0,5.0,6.0,Seattle,98116,2510000,35
1580.0,2.0,3.0,Seattle,98116,1029000,46
1450.0,2.0,3.0,Seattle,98116,965000,56
1182.0,2.0,2.0,Seattle,98116,1099000,49
3190.0,4.0,4.0,Seattle,98118,1900000,32
2890.0,3.0,4.0,Seattle,98118,1315000,53
3150.0,6.0,5.0,Seattle,98118,1346500,59
2210.0,2.75,4.0,Seattle,98118,630000,59
2210.0,4.0,4.0,Seattle,98118,1049000,57
1080.0,2.0,3.0,Seattle,98118,688000,47
1490.0,1.0,2.0,Seattle,98118,775000,42
1540.0,3.0,4.0,Seattle,98118,729000,54
1660.0,2.75,3.0,Seattle,98118,785000,52
1618.0,3.0,3.0,Seattle,98118,785000,37
1350.0,3.0,3.0,Seattle,98118,645950,45
2600.0,3.0,3.0,Seattle,98118,850000,30
2279.0,4.0,4.0,Seattle,98118,1175000,42
2350.0,2.0,3.0,Seattle,98118,840000,52
950.0,2.0,2.0,Seattle,98118,460000,36
2129.0,1.0,3.0,Seattle,98118,830000,32
1250.0,2.0,2.0,Seattle,98118,800000,56
2600.0,2.0,4.0,Seattle,98118,663458,59
2150.0,3.0,5.0,Seattle,98118,850000,41
1460.0,2.0,4.0,Seattle,98118,600000,51
1340.0,3.0,3.0,Seattle,98118,815000,53
1167.0,2.0,2.0,Seattle,98118,545000,31
1010.0,2.0,2.0,Seattle,98118,690000,41
930.0,1.0,2.0,Seattle,98118,555000,47
3030.0,4.0,5.0,Seattle,98118,1150000,51
1030.0,2.0,2.0,Seattle,98118,825000,60
1380.0,2.0,3.0,Seattle,98118,600000,53
2860.0,3.0,5.0,Seattle,98118,785000,40
920.0,1.0,2.0,Seattle,98118,445000,43
30.0,,,Seattle,98118,95000,52
3690.0,4.0,4.0,Seattle,98118,1800000,42
26.0,,,Seattle,98118,80000,41
1910.0,3.0,3.0,Seattle,98118,755000,36
1020.0,1.0,2.0,Seattle,98118,905000,52
2300.0,2.0,3.0,Seattle,98118,465000,48
1820.0,3.0,3.0,Seattle,98118,630000,56
1800.0,2.5,3.0,Seattle,98118,775000,38
1820.0,2.5,3.0,Seattle,98118,630000,41
2350.0,3.0,5.0,Seattle,98118,910000,41
1089.0,3.0,3.0,Seattle,98118,594000,42
2080.0,4.0,3.0,Seattle,98118,865000,60
1780.0,2.0,4.0,Seattle,98117,925000,46
967.0,2.0,2.0,Seattle,98133,423500,54
2580.0,2.0,4.0,Seattle,98115,1375000,57
3013.0,3.0,4.0,Seattle,98103,1885000,55
1180.0,1.0,2.0,Seattle,98112,885000,35
1650.0,3.0,3.0,Seattle,98122,1217500,41
813.0,2.0,2.0,Seattle,98103,591950,41
1670.0,3.0,2.0,Seattle,98103,795000,56
1720.0,2.0,3.0,Seattle,98102,990000,40
1508.0,3.0,3.0,Seattle,98107,850000,51
1560.0,4.0,3.0,Seattle,98117,850000,45
1750.0,4.0,3.0,Seattle,98133,715000,46
2820.0,3.0,7.0,Seattle,98125,949900,47
586.0,1.0,1.0,Seattle,98102,365000,49
1560.0,2.0,3.0,Seattle,98107,910000,30
2940.0,2.0,5.0,Seattle,98105,820000,37
